product_id,barcode,product_name,type,purchase_price,selling_price,selling_wcard
4418,10003062,179 MAVı NAKIşLI BLUZ,Bluz,15.0,29.99,34.99
4419,10003063,ıSPANYOL KOL TRIKO,Kazak,16.0,34.99,39.99
4420,10003064,167 Önu Gullu Bluz,Bluz,16.0,34.99,39.99
4421,10003065,078 Mavi Yakalı Bluz,Bluz,17.0,34.99,39.99
4422,10003066,Dantelli Bluz,Bluz,16.0,34.99,39.99
4423,10003024,Varaklı Etek,Etek,15.0,34.99,39.99
4424,10003037,Fırfırlı Bluz,Bluz,13.0,27.5,29.99
4425,10003028,California Trenc,TRENÇKOT,65.0,119.99,124.99
4426,10003014,Etnik Bluz,Bluz,16.0,34.99,39.99
4427,10003019,Kolyeli Gömlek,Gömlek,18.5,39.99,44.99
4428,10003043,083-t.Shırt Mavi,TışÖRT,14.0,27.5,29.99
4429,10003015,Etek Uzun,Etek,15.0,29.99,34.99
4430,10003011,Önü Güpür Bluz,Bluz,17.0,37.5,39.99
4431,10002691,Kot Yuksek Bel ,Kot Pantolon,27.0,54.99,59.99
4432,10003056,Füme Yuksek Bel Kot,Kot Pantolon,23.0,44.99,49.99
4433,10002864,Yüksek Bel Pant.,Pantolon,22.0,44.99,49.99
4434,10003043,083-t.Shırt Mavi,TışÖRT,14.0,27.5,29.99
4435,10003065,078 Mavi Yakalı Bluz,Bluz,17.0,34.99,39.99
4436,10003063,ıSPANYOL KOL TRIKO,Kazak,16.0,34.99,39.99
4437,10003050,099 Zara Model Tunık,Bluz,15.0,34.99,39.99
4438,10003067,206 ıp Baglamalı Body,Body,9.0,19.99,0.0
4439,10003068,Ajurlu Trıko,Kazak,16.0,34.99,0.0
4440,10003067,206 ıp Baglamalı Body,Body,9.0,19.99,22.99
4441,10003068,Ajurlu Trıko,Kazak,16.0,34.99,39.99
4442,10003069,208 Kayıkyaka Dugmeli Bluz,Bluz,18.0,39.99,44.99
4443,10003070,202 Cızgılı Fırfırlı Bluz,Bluz,16.0,34.99,39.99
4444,10002957,5144 Uz.Kol.Uzun Elbise,Elbise,34.0,69.99,74.99
4445,10002958,5143 Uzun Kemerli Elbise,Elbise,35.0,69.99,74.99
4446,10003070,202 Cızgılı Fırfırlı Bluz,Bluz,16.0,34.99,39.99
4447,10002336,Czb 3951 Havuc Pant.,KUMAş PANTOLON,28.0,59.99,64.99
4448,10003071,7084 Kırcıllı Cepli Hırka,Hırka,16.0,34.99,39.99
4449,10003072,Czb V Yaka Kazak,Kazak,13.0,24.99,29.99
4450,10003063,ıSPANYOL KOL TRIKO,Kazak,16.0,34.99,39.99
4451,10003073,Cepli Hırka,Hırka,16.0,29.99,34.99
4452,10003074,Kapşonlu Sweat,Sweat,16.0,29.99,34.99
4453,10003063,ıSPANYOL KOL TRIKO,Kazak,16.0,34.99,39.99
4454,10003029,Tasarım Yağmurluk ,Yagmurluk,45.0,84.99,89.99
4455,10003075,Fendi Trençkot,TRENÇKOT,65.0,119.99,124.99
4456,10003076,Deri Trençkot,TRENÇKOT,65.0,119.99,124.99
4457,10003077,Tayt,Tayt,22.0,39.99,44.99
4458,10003078,Tunik Kazak,Kazak,20.0,39.99,44.99
4459,10003079,Simli Bluz,Bluz,15.0,32.99,34.99
4460,10003080,V Yaka Bluz,Bluz,12.0,27.99,29.99
4461,10003081,V Yaka Çizgili Bluz,Bluz,13.0,27.99,29.99
4462,10003082,Bibi Yelek,Yelek,15.0,29.99,34.99
4463,10003083,Sweat ,Sweat,10.0,24.99,29.99
4464,10003084,Çizgili Yelek ,Yelek,15.0,29.99,32.99
4465,10003085,Zincirli Kot Ceket,Ceket,35.0,69.99,74.99
4466,10003086,138 -bluz,Bluz,16.0,34.99,37.99
4467,10003087,Haki Mont,Mont,35.0,59.99,74.99
4468,10003088,832- Güllü Sweat,Sweat,13.0,27.99,29.99
4469,10003067,206 ıp Baglamalı Body,Body,9.0,19.99,22.99
4470,10003090,806-triko ,Kazak,17.0,34.99,39.99
4471,10003091,Omuz Açık Triko,Kazak,18.0,37.99,39.99
4472,10003074,Kapşonlu Sweat,Sweat,16.0,29.99,34.99
4473,10003093,Sıfır Kol Triko,Kazak,16.0,34.99,37.99
4474,10002864,Yüksek Bel Pant.,Pantolon,22.0,44.99,49.99
4475,10002692,Asit Yıkama Yuksek Bel ,Kot Pantolon,23.0,44.99,49.99
4476,10003094,Çelik Tayt,Tayt,12.5,24.99,29.99
4477,10003095,Sporcu Tayt,Tayt,10.0,19.99,24.99
4478,10003096,Czb 0233  Panco hırka,Hırka,23.0,49.99,54.99
4479,10003097,Czb 0236 Kalın Baskılı Hırka,Hırka,23.0,49.99,0.0
4480,10003098,Czb 7061 V Yaka Kazak,Kazak,22.0,44.99,49.99
4481,10003099,Czb 7063 Fermuarlı Kazak,Kazak,18.0,34.99,39.99
4482,10003100,Czb 7030 CIFT RENKL HIRKA,Hırka,28.0,54.99,59.99
4483,10003101,0325 V YAKA SALAş,Kazak,17.0,34.99,39.99
4484,10003084,Çizgili Yelek ,Yelek,15.0,34.99,32.99
4485,10003083,Sweat ,Sweat,10.0,24.99,29.99
4486,10003082,Bibi Yelek,Yelek,15.0,29.99,34.99
4487,10003082,Bibi Yelek,Yelek,15.0,34.99,39.99
4488,10003084,Çizgili Yelek ,Yelek,15.0,34.99,39.99
4489,10003090,806-triko ,Kazak,17.0,34.99,39.99
4490,10003102,215 GRı SWEATH,Sweat,17.0,34.99,39.99
4491,10003091,Omuz Açık Triko,Kazak,18.0,37.99,39.99
